ID,Type,Date,Time,Source,Latitude,Longitude
6D211695,Multiple_Gunshots,7/1/2018,0:25:49,WashingtonDC6D,38.895,-76.94
7D274641,Single_Gunshot,7/1/2018,0:41:32,WashingtonDC7D,38.838,-76.99
7D274657,Multiple_Gunshots,7/1/2018,0:45:24,WashingtonDC7D,38.847,-76.973
6D211771,Multiple_Gunshots,7/1/2018,0:48:14,WashingtonDC6D,38.883,-76.94
4D68612,Multiple_Gunshots,7/1/2018,1:01:05,WashingtonDC4D,38.942,-77.023
5D87692,Multiple_Gunshots,7/1/2018,1:34:21,WashingtonDC5D,38.907,-77.009
7D274825,Gunshot_or_Firecracker,7/1/2018,2:02:19,WashingtonDC7D,38.847,-76.973
5D87744,Gunshot_or_Firecracker,7/1/2018,4:49:50,WashingtonDC5D,38.907,-77.009
6D211952,Multiple_Gunshots,7/1/2018,4:53:24,WashingtonDC6D,38.896,-76.943
1D96891,Single_Gunshot,7/1/2018,11:58:57,WashingtonDC1D,38.873,-77.013
6D212079,Single_Gunshot,7/1/2018,17:27:05,WashingtonDC6D,38.88,-76.929
7D275100,Multiple_Gunshots,7/1/2018,18:34:28,WashingtonDC7D,38.827,-77
3D70328,Gunshot_or_Firecracker,7/1/2018,18:40:17,WashingtonDC3D,38.921,-77.034
4D68680,Single_Gunshot,7/1/2018,18:54:07,WashingtonDC4D,38.955,-77.021
7D275116,Single_Gunshot,7/1/2018,18:55:18,WashingtonDC7D,38.827,-77.001
7D275125,Multiple_Gunshots,7/1/2018,18:58:19,WashingtonDC7D,38.851,-76.973
7D275827,Single_Gunshot,7/1/2018,22:37:38,WashingtonDC7D,38.827,-77
5D88148,Multiple_Gunshots,7/1/2018,23:11:47,WashingtonDC5D,38.908,-76.983
7D276035,Multiple_Gunshots,7/1/2018,23:19:37,WashingtonDC7D,38.862,-76.995
7D276036,Multiple_Gunshots,7/1/2018,23:19:43,WashingtonDC7D,38.863,-76.995
7D276079,Multiple_Gunshots,7/1/2018,23:30:28,WashingtonDC7D,38.83,-77
6D213034,Gunshot_or_Firecracker,7/2/2018,0:21:12,WashingtonDC6D,38.865,-76.978
4D68807,Multiple_Gunshots,7/2/2018,3:53:53,WashingtonDC4D,38.951,-77.03
6D213091,Single_Gunshot,7/2/2018,10:47:37,WashingtonDC6D,38.893,-76.911
7D276280,Multiple_Gunshots,7/2/2018,11:49:28,WashingtonDC7D,38.828,-77
7D276281,Multiple_Gunshots,7/2/2018,11:49:34,WashingtonDC7D,38.828,-77.001
6D213159,Multiple_Gunshots,7/2/2018,15:20:47,WashingtonDC6D,38.876,-76.966
7D276377,Gunshot_or_Firecracker,7/2/2018,17:54:06,WashingtonDC7D,38.847,-76.983
3D70398,Multiple_Gunshots,7/2/2018,18:07:58,WashingtonDC3D,38.922,-77.032
