OBJECTID,REPORT_TAKEN_DATE,YEAR,BLOCK_ADDRESS,DISTRICT,PSA,FIELD_CONTACT_TYPE,REASON_FOR_STOP,DATA_TYPE,RACE,ETHNICITY,SEX,AGE
1,6/11/2012 4:22,2012,1900 BLOCK OF MONTANA AVE NE,,,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Male,Juvenile
2,6/11/2012 5:17,2012,1100 BLK BLADENSBURG,,,Pedestrian Stop,Suspicious Persons,Person,Black,Unknown,Male,32
3,6/11/2012 5:22,2012,1100 BLK BLANDESBURG RD NE,,,Pedestrian Stop,Suspicious Persons,Person,Black,Unknown,Male,33
4,6/11/2012 20:51,2012,4100 BLOCK OF HUNT PL NE,6D,602,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,28
5,6/12/2012 0:31,2012,600 BLOCK OF 19TH ST NE,5D,507,Pedestrian Stop,Truancy/curfew,Person,Black,Unknown,Male,Juvenile
6,6/13/2012 1:48,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Female,Juvenile
7,6/13/2012 1:48,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Female,Juvenile
8,6/13/2012 1:48,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Female,Juvenile
9,6/13/2012 1:48,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Unknown,Female,Juvenile
10,6/13/2012 2:17,2012,49TH ST NE / JAY ST NE,6D,608,Pedestrian Stop,Suspicious Activity,Person,Black,Not Hispanic Or Latino,Male,19
11,6/13/2012 2:32,2012,4300 BLOCK OF HUNT PL NE,6D,602,Pedestrian Stop,Call For Service,Person,Black,Unknown,Male,19
12,6/13/2012 20:54,2012,100 BLOCK OF 16TH ST SE,1D,108,Pedestrian Stop,Suspicious Activity,Person,Black,Not Hispanic Or Latino,Male,30
13,6/14/2012 1:14,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Male,Juvenile
14,6/15/2012 1:48,2012,900 BLOCK OF H ST NE,1D,104,Pedestrian Stop,Truancy/curfew,Person,Black,Unknown,Female,Juvenile
15,6/15/2012 1:57,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Unknown,Female,Juvenile
16,6/15/2012 1:57,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Unknown,Male,Juvenile
17,6/16/2012 3:34,2012,2300 BLOCK OF 4TH ST NE,5D,502,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Female,Juvenile
18,6/16/2012 3:34,2012,2300 BLOCK OF 4TH ST NE,5D,502,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Female,Juvenile
19,6/17/2012 2:45,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Female,Juvenile
20,6/17/2012 2:45,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Unknown,Male,Juvenile
21,6/17/2012 3:10,2012,600 BLOCK OF IRVING ST NW,3D,302,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,18
