OBJECTID,INCIDENT_TYPE,REPORT_TAKEN_DATE_EST,YEAR,DATA_TYPE,SUBJECT_RACE,SUBJECT_SEX,SUBJECT_ETHNICITY,BLOCK_ADDRESS,RECODE_ADD,INCIDENT_LOCATION_DISTRICT,INCIDENT_LOCATION_PSA,AGE,WARD,VOTE_PRECINCT,ADVIS_NEIGH_COMMIS,POLICE_DISTRICT,SINGLE_MEMBER_DISTRICT,POLICE_SERVICE AREA,CENSUS_TRACT,NEIGHBORHOOD_CLUSTER
1001,Stop & Frisk,2010-04-19T15:26:00.000Z,2010,Person,Black,Female,Not Hispanic Or Latino,3900 B/O BENNING RD NE,3900 BENNING RD NE,6D,602,18,7,99,7F,6,7F01,602,7803,30
1002,Stop & Frisk,2010-04-19T15:26:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,3900 B/O BENNING RD NE,3900 BENNING RD NE,6D,602,Juvenile,7,99,7F,6,7F02,602,7804,30
1003,Stop & Frisk,2010-04-19T15:26:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,3900 B/O BENNING RD NE,3900 BENNING RD NE,6D,602,Juvenile,7,99,7F,6,7F03,602,7805,30
1004,Stop & Frisk,2010-04-19T15:26:00.000Z,2010,Person,Black,Female,Not Hispanic Or Latino,3900 B/O BENNING RD NE,3900 BENNING RD NE,6D,602,Juvenile,7,99,7F,6,7F04,602,7806,30
1005,Stop & Frisk,2010-04-19T18:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,300 B/O K ST NE,1009 3rd St SE,1D,102,Juvenile,6,131,6D,1,6D07,106,7200,27
1006,Stop & Frisk,2010-04-19T18:30:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,500 B/O RHODE ISLAND AVE NW,500 RHODE ISLAND AVE NW,3D,308,22,6,21,6E,3,6.00E+02,308,4801,7
1007,Stop & Frisk,2010-04-19T19:50:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,700 B/O INGRAHAM ST NW,700 INGRAHAM ST NW,4D,403,Juvenile,4,56,4D,4,4D04,403,2101,18
1008,Stop & Frisk,2010-04-19T20:10:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,900 B/O DELAFIELD PL NW,900 DELAFIELD PL NW,4D,407,18,4,55,4D,4,4D06,407,2201,18
1009,Stop & Frisk,2010-04-19T21:30:00.000Z,2010,Person,Unknown,Unknown,Unknown,1300 B/O LEVIS ST NE,1312 LEVIS ST NE,5D,506,,5,77,5D,5,5D07,506,8802,23
1010,Stop & Frisk,2010-04-19T22:30:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,6TH ST NW / N ST NW,515 N ST NW,3D,308,22,6,18,6E,3,6.00E+02,308,4801,7
